,datetime,LAKE_SACAJAWEA_FOREBAY_AT_ICE_HARBOR_DAM__WA.
667,2013-01-05,336.22705882352943
668,2013-01-06,336.09117647058827
669,2013-01-07,335.9552941176471
670,2013-01-08,335.81941176470593
671,2013-01-09,335.68352941176465
672,2013-01-10,335.54764705882354
673,2013-01-11,335.4117647058823
674,2013-01-12,335.2758823529412
675,2013-01-13,335.14
676,2013-01-14,335.0041176470589
677,2013-01-15,334.8682352941176
678,2013-01-16,334.7323529411765
679,2013-01-17,334.5964705882353
680,2013-01-18,334.4605882352941
681,2013-01-19,334.324705882353
682,2013-01-20,334.18882352941176
683,2013-01-21,334.0529411764706
684,2013-01-22,333.9170588235294
685,2013-01-23,333.78117647058826
686,2013-01-24,333.64529411764704
687,2013-01-25,333.50941176470593
688,2013-01-26,333.3735294117647
689,2013-01-27,333.2376470588235
690,2013-01-28,333.1017647058823
691,2013-01-29,332.96588235294115
692,2013-01-30,332.83
693,2013-01-31,332.6941176470588
694,2013-02-01,332.5582352941177
695,2013-02-02,332.4223529411764
696,2013-02-03,332.2864705882353
697,2013-02-04,332.1505882352941
698,2013-02-05,332.0147058823529
699,2013-02-06,331.87882352941176
700,2013-02-07,331.7429411764706
701,2013-02-08,331.60705882352937
702,2013-02-09,331.4711764705882
703,2013-02-10,331.33529411764704
704,2013-02-11,331.1994117647059
705,2013-02-12,331.0635294117647
706,2013-02-13,330.92764705882354
707,2013-02-14,330.7917647058823
708,2013-02-15,330.65588235294115
709,2013-02-16,330.52
710,2013-02-17,330.3841176470589
711,2013-02-18,330.24823529411765
712,2013-02-19,330.11235294117654
713,2013-02-20,329.97647058823526
714,2013-02-21,329.8405882352941
715,2013-02-22,329.7047058823529
716,2013-02-23,329.56882352941176
717,2013-02-24,329.4329411764706
718,2013-02-25,329.2970588235294
719,2013-02-26,329.1611764705882
720,2013-02-27,329.02529411764704
721,2013-02-28,328.8894117647059
722,2013-03-01,328.7535294117647
723,2013-03-02,328.61764705882354
724,2013-03-03,328.48176470588237
725,2013-03-04,328.34588235294115
726,2013-03-05,328.21
727,2013-03-06,328.0741176470588
728,2013-03-07,327.93823529411765
729,2013-03-08,327.8023529411765
730,2013-03-09,327.6664705882353
731,2013-03-10,327.5305882352941
732,2013-03-11,327.3947058823529
733,2013-03-12,327.25882352941176
734,2013-03-13,327.1229411764706
735,2013-03-14,326.9870588235294
736,2013-03-15,326.85117647058826
737,2013-03-16,326.71529411764703
738,2013-03-17,326.57941176470587
739,2013-03-18,326.4435294117647
740,2013-03-19,326.3076470588235
741,2013-03-20,326.17176470588237
742,2013-03-21,326.03588235294114
743,2013-03-22,325.9
744,2013-03-23,324.0
745,2013-03-24,325.3
746,2013-03-25,326.7
747,2013-03-26,329.2
748,2013-03-27,330.79999999999995
749,2013-03-28,330.0
750,2013-03-29,330.8
751,2013-03-30,333.6
752,2013-03-31,336.2
753,2013-04-01,338.7
754,2013-04-02,337.6
755,2013-04-03,338.70000000000005
756,2013-04-04,340.40000000000003
757,2013-04-05,349.1
758,2013-04-06,360.1
759,2013-04-07,362.1
760,2013-04-08,355.1
761,2013-04-09,353.6
762,2013-04-10,362.5
763,2013-04-11,364.79999999999995
764,2013-04-12,368.7
765,2013-04-13,368.79999999999995
766,2013-04-14,364.6
767,2013-04-15,363.6
768,2013-04-16,363.5
769,2013-04-17,365.1
770,2013-04-18,368.0
771,2013-04-19,374.20000000000005
772,2013-04-20,372.4
773,2013-04-21,370.20000000000005
774,2013-04-22,365.8
775,2013-04-23,370.8
776,2013-04-24,374.6
777,2013-04-25,381.2
778,2013-04-26,382.6
779,2013-04-27,386.7
780,2013-04-28,383.1
781,2013-04-29,377.2
782,2013-04-30,368.1
783,2013-05-01,362.6
784,2013-05-02,369.6
785,2013-05-03,380.2
786,2013-05-04,387.4
787,2013-05-05,394.0
788,2013-05-06,391.8
789,2013-05-07,390.70000000000005
790,2013-05-08,392.40000000000003
791,2013-05-09,394.0
792,2013-05-10,393.0
793,2013-05-11,391.7
794,2013-05-12,392.5
795,2013-05-13,390.09999999999997
796,2013-05-14,386.2
797,2013-05-15,387.7
798,2013-05-16,389.2
799,2013-05-17,387.70000000000005
800,2013-05-18,381.4
801,2013-05-19,376.1
802,2013-05-20,379.0
803,2013-05-21,382.9
804,2013-05-22,377.1
805,2013-05-23,371.0
806,2013-05-24,373.09999999999997
807,2013-05-25,378.6
808,2013-05-26,380.9
809,2013-05-27,384.1
810,2013-05-28,384.9
811,2013-05-29,386.6
812,2013-05-30,382.7
813,2013-05-31,380.3
814,2013-06-01,385.2
815,2013-06-02,390.90000000000003
816,2013-06-03,391.40000000000003
817,2013-06-04,393.2
818,2013-06-05,393.2
819,2013-06-06,395.59999999999997
820,2013-06-07,397.4
821,2013-06-08,394.79999999999995
822,2013-06-09,394.09999999999997
823,2013-06-10,392.5
824,2013-06-11,390.0
825,2013-06-12,383.2
826,2013-06-13,380.0
827,2013-06-14,380.59999999999997
828,2013-06-15,386.5
829,2013-06-16,389.09999999999997
