,datetime,SPIRIT_LAKE_AT_TUNNEL_AT_SPIRIT_LAKE__WA.tsv
833,2015-04-14,3445.67
834,2015-04-15,3445.62
835,2015-04-16,3445.57
836,2015-04-17,3445.52
837,2015-04-18,3445.48
838,2015-04-19,3445.44
839,2015-04-20,3445.39
840,2015-04-21,3445.43
841,2015-04-22,3445.47
842,2015-04-23,3445.55
843,2015-04-24,3445.66
844,2015-04-25,3445.73
845,2015-04-26,3445.8
846,2015-04-27,3445.86
847,2015-04-28,3445.93
848,2015-04-29,3446.0
849,2015-04-30,3446.05
850,2015-05-01,3446.1
851,2015-05-02,3446.15
852,2015-05-03,3446.2
853,2015-05-04,3446.27
854,2015-05-05,3446.38
855,2015-05-06,3446.42
856,2015-05-07,3446.47
857,2015-05-08,3446.51
858,2015-05-09,3446.49
859,2015-05-10,3446.39
860,2015-05-11,3446.31
861,2015-05-12,3446.23
862,2015-05-13,3446.17
863,2015-05-14,3446.08
864,2015-05-15,3445.99
865,2015-05-16,3445.91
866,2015-05-17,3445.82
867,2015-05-18,3445.75
868,2015-05-19,3445.69
869,2015-05-20,3445.61
870,2015-05-21,3445.53
871,2015-05-22,3445.45
872,2015-05-23,3445.35
873,2015-05-24,3445.26
874,2015-05-25,3445.17
875,2015-05-26,3445.1
876,2015-05-27,3445.01
877,2015-05-28,3444.93
878,2015-05-29,3444.86
879,2015-05-30,3444.78
880,2015-05-31,3444.7
881,2015-06-01,3444.62
882,2015-06-02,3444.59
883,2015-06-03,3444.52
884,2015-06-04,3444.45
885,2015-06-05,3444.38
886,2015-06-06,3444.3
887,2015-06-07,3444.24
888,2015-06-08,3444.16
889,2015-06-09,3444.09
890,2015-06-10,3444.01
891,2015-06-11,3443.94
892,2015-06-12,3443.86
893,2015-06-13,3443.8
894,2015-06-14,3443.73
895,2015-06-15,3443.66
896,2015-06-16,3443.61
897,2015-06-17,3443.56
898,2015-06-18,3443.49
899,2015-06-19,3443.44
900,2015-06-20,3443.38
901,2015-06-21,3443.32
902,2015-06-22,3443.26
903,2015-06-23,3443.21
