,datetime,BIG_CLIFF_LAKE_NEAR_NIAGARA__OR.
1101,2016-08-06,1201.7
1102,2016-08-07,1200.93
1103,2016-08-08,1201.67
1104,2016-08-09,1201.59
1105,2016-08-10,1202.78
1106,2016-08-11,1201.21
1107,2016-08-12,1202.26
1108,2016-08-13,1202.66
1109,2016-08-14,1202.88
1110,2016-08-15,1202.74
1111,2016-08-16,1202.55
1112,2016-08-17,1202.56
1113,2016-08-18,1203.36
1114,2016-08-19,1203.23
1115,2016-08-20,1203.16
1116,2016-08-21,1202.95
1117,2016-08-22,1202.76
1118,2016-08-23,1203.37
1119,2016-08-24,1203.31
1120,2016-08-25,1203.59
1121,2016-08-26,1203.35
1122,2016-08-27,1203.4
1123,2016-08-28,1203.44
1124,2016-08-29,1203.44
1125,2016-08-30,1203.39
1126,2016-08-31,1202.67
1127,2016-09-01,1202.78
1128,2016-09-02,1202.38
1129,2016-09-03,1202.31
1130,2016-09-04,1202.36
1131,2016-09-05,1202.33
1132,2016-09-06,1200.37
1133,2016-09-07,1201.02
1134,2016-09-08,1200.3
1135,2016-09-09,1197.78
1136,2016-09-10,1198.61
1137,2016-09-11,1198.84
1138,2016-09-12,1197.82
1139,2016-09-13,1196.6
1140,2016-09-14,1197.84
1141,2016-09-15,1198.06
1142,2016-09-16,1198.92
1143,2016-09-17,1199.78
1144,2016-09-18,1198.83
1145,2016-09-19,1199.05
1146,2016-09-20,1199.43
1147,2016-09-21,1198.32
1148,2016-09-22,1198.61
1149,2016-09-23,1200.34
1150,2016-09-24,1199.7
1151,2016-09-25,1199.32
1152,2016-09-26,1199.49
1153,2016-09-27,1199.74
1154,2016-09-28,1199.74
1155,2016-09-29,1197.88
1156,2016-09-30,1198.59
1157,2016-10-01,1196.19
1158,2016-10-02,1195.44
1159,2016-10-03,1195.38
1160,2016-10-04,1195.64
1161,2016-10-05,1197.52
1162,2016-10-06,1195.27
1163,2016-10-07,1197.1
1164,2016-10-08,1195.3
1165,2016-10-09,1196.75
1166,2016-10-10,1197.42
1167,2016-10-11,1197.15
1168,2016-10-12,1196.8
1169,2016-10-13,1197.77
1170,2016-10-14,1197.66
1171,2016-10-15,1198.09
1172,2016-10-16,1197.35
1173,2016-10-17,1198.71
1174,2016-10-18,1198.21
1175,2016-10-19,1197.76
1176,2016-10-20,1198.66
1177,2016-10-21,1200.6
1178,2016-10-22,1199.74
1179,2016-10-23,1200.19
1180,2016-10-24,1200.61
1181,2016-10-25,1200.5
1182,2016-10-26,1201.21
1183,2016-10-27,1201.35
1184,2016-10-28,1200.46
1185,2016-10-29,1199.42
1186,2016-10-30,1200.56
1187,2016-10-31,1200.19
1188,2016-11-01,1199.97
1189,2016-11-02,1199.89
1190,2016-11-03,1195.62
1191,2016-11-04,1199.32
1192,2016-11-05,1199.16
1193,2016-11-06,1200.85
1194,2016-11-07,1198.85
1195,2016-11-08,1197.43
1196,2016-11-09,1196.98
1197,2016-11-10,1198.28
1198,2016-11-11,1199.35
1199,2016-11-12,1198.57
1200,2016-11-13,1199.02
1201,2016-11-14,1200.07
1202,2016-11-15,1202.54
1203,2016-11-16,1198.87
1204,2016-11-17,1199.13
1205,2016-11-18,1199.08
1206,2016-11-19,1199.1
1207,2016-11-20,1199.36
1208,2016-11-21,1199.52
1209,2016-11-22,1199.22
1210,2016-11-23,1199.24
1211,2016-11-24,1201.05
1212,2016-11-25,1200.91
1213,2016-11-26,1200.91
1214,2016-11-27,1200.28
1215,2016-11-28,1202.08
