,datetime,UPPER_TWIN_LAKE_NR_BRIDGEPORT__CA.tsv
620,2014-09-14,8454.035862068966
621,2014-09-15,8448.15551724138
622,2014-09-16,8442.275172413792
623,2014-09-17,8436.394827586208
624,2014-09-18,8430.514482758621
625,2014-09-19,8424.634137931034
626,2014-09-20,8418.753793103448
627,2014-09-21,8412.873448275863
628,2014-09-22,8406.993103448276
629,2014-09-23,8401.11275862069
630,2014-09-24,8395.232413793103
631,2014-09-25,8389.352068965518
632,2014-09-26,8383.471724137931
633,2014-09-27,8377.591379310345
634,2014-09-28,8371.711034482758
635,2014-09-29,8365.830689655173
636,2014-09-30,8359.950344827586
637,2014-10-01,8354.07
638,2014-10-02,8351.393666666667
639,2014-10-03,8348.717333333332
640,2014-10-04,8346.041
641,2014-10-05,8343.364666666666
642,2014-10-06,8340.688333333334
643,2014-10-07,8338.011999999999
644,2014-10-08,8335.335666666666
645,2014-10-09,8332.659333333333
646,2014-10-10,8329.983
647,2014-10-11,8327.306666666667
648,2014-10-12,8324.630333333333
649,2014-10-13,8321.954
650,2014-10-14,8319.277666666667
651,2014-10-15,8316.601333333332
652,2014-10-16,8313.925
653,2014-10-17,8311.248666666666
654,2014-10-18,8308.572333333334
655,2014-10-19,8305.896
656,2014-10-20,8303.219666666666
657,2014-10-21,8300.543333333333
658,2014-10-22,8297.867
659,2014-10-23,8295.190666666667
660,2014-10-24,8292.514333333333
661,2014-10-25,8289.838
662,2014-10-26,8287.161666666667
663,2014-10-27,8284.485333333332
664,2014-10-28,8281.809
665,2014-10-29,8279.132666666666
666,2014-10-30,8276.456333333334
667,2014-10-31,8273.779999999999
668,2014-11-01,8281.932187499999
669,2014-11-02,8290.084374999999
670,2014-11-03,8298.236562499998
671,2014-11-04,8306.38875
672,2014-11-05,8314.5409375
673,2014-11-06,8322.693125
674,2014-11-07,8330.8453125
675,2014-11-08,8338.9975
676,2014-11-09,8347.1496875
677,2014-11-10,8355.301875000001
678,2014-11-11,8363.4540625
679,2014-11-12,8371.60625
680,2014-11-13,8379.7584375
681,2014-11-14,8387.910625
682,2014-11-15,8396.0628125
683,2014-11-16,8404.215
684,2014-11-17,8412.3671875
685,2014-11-18,8420.519375
686,2014-11-19,8428.6715625
687,2014-11-20,8436.82375
688,2014-11-21,8444.9759375
689,2014-11-22,8453.128125
690,2014-11-23,8461.2803125
691,2014-11-24,8469.432499999999
692,2014-11-25,8477.584687499999
693,2014-11-26,8485.736874999999
694,2014-11-27,8493.889062499999
695,2014-11-28,8502.041249999998
696,2014-11-29,8510.1934375
697,2014-11-30,8518.345625
698,2014-12-01,8526.4978125
699,2014-12-02,8534.65
700,2014-12-03,8538.108965517242
701,2014-12-04,8541.567931034482
702,2014-12-05,8545.026896551724
703,2014-12-06,8548.485862068965
704,2014-12-07,8551.944827586207
