,datetime,BULL_RUN_RESERVOIR_NO_1_NEAR_BULL_RUN__OR.
632,2012-09-24,1008.3
633,2012-09-25,1006.78
634,2012-09-26,1006.1
635,2012-09-27,1005.05
636,2012-09-28,1004.08
637,2012-09-29,1003.28
638,2012-09-30,1002.16
639,2012-10-01,1001.05
640,2012-10-02,1000.23
641,2012-10-03,998.75
642,2012-10-04,997.46
643,2012-10-05,996.22
644,2012-10-06,994.3
645,2012-10-07,992.81
646,2012-10-08,991.32
647,2012-10-09,990.34
648,2012-10-10,990.25
649,2012-10-11,990.71
650,2012-10-12,991.32
651,2012-10-13,992.44
652,2012-10-14,993.24
653,2012-10-15,998.09
654,2012-10-16,1002.35
655,2012-10-17,1002.53
656,2012-10-18,1002.67
657,2012-10-19,1001.48
658,2012-10-20,1006.65
659,2012-10-21,1011.92
660,2012-10-22,1013.82
661,2012-10-23,1015.22
662,2012-10-24,1016.99
663,2012-10-25,1018.42
664,2012-10-26,1019.11
665,2012-10-27,1024.07
666,2012-10-28,1037.49
667,2012-10-29,1037.97
668,2012-10-30,1036.28
669,2012-10-31,1035.68
670,2012-11-01,1035.8
671,2012-11-02,1035.39
672,2012-11-03,1035.68
673,2012-11-04,1034.99
674,2012-11-05,1035.61
675,2012-11-06,1034.93
676,2012-11-07,1035.13
677,2012-11-08,1035.31
678,2012-11-09,1034.99
679,2012-11-10,1034.85
680,2012-11-11,1034.73
681,2012-11-12,1035.68
682,2012-11-13,1035.41
683,2012-11-14,1034.78
684,2012-11-15,1034.72
685,2012-11-16,1035.88
686,2012-11-17,1035.48
687,2012-11-18,1034.7
688,2012-11-19,1038.59
689,2012-11-20,1038.25
690,2012-11-21,1036.74
691,2012-11-22,1035.28
692,2012-11-23,1036.22
693,2012-11-24,1036.52
694,2012-11-25,1035.45
695,2012-11-26,1034.69
696,2012-11-27,1036.25
697,2012-11-28,1035.09
698,2012-11-29,1035.31
699,2012-11-30,1035.21
700,2012-12-01,1035.36
701,2012-12-02,1035.81
702,2012-12-03,1035.61
703,2012-12-04,1038.54
704,2012-12-05,1036.5
705,2012-12-06,1035.46
706,2012-12-07,1035.59
707,2012-12-08,1034.58
708,2012-12-09,1034.67
709,2012-12-10,1031.31
710,2012-12-11,1028.91
711,2012-12-12,1034.71
712,2012-12-13,1034.97
713,2012-12-14,1035.22
714,2012-12-15,1035.09
715,2012-12-16,1035.62
716,2012-12-17,1035.22
717,2012-12-18,1034.89
718,2012-12-19,1035.12
719,2012-12-20,1034.98
720,2012-12-21,1035.35
721,2012-12-22,1034.97
722,2012-12-23,1034.97
723,2012-12-24,1034.78
724,2012-12-25,1035.01
725,2012-12-26,1035.25
726,2012-12-27,1035.13
727,2012-12-28,1035.04
728,2012-12-29,1034.96
729,2012-12-30,1034.86
730,2012-12-31,1034.84
731,2013-01-01,1034.98
732,2013-01-02,1034.84
733,2013-01-03,1034.72
734,2013-01-04,1034.75
735,2013-01-05,1034.46
736,2013-01-06,1034.82
737,2013-01-07,1037.02
738,2013-01-08,1037.22
739,2013-01-09,1035.87
740,2013-01-10,1035.47
741,2013-01-11,1034.67
742,2013-01-12,1034.75
743,2013-01-13,1034.67
744,2013-01-14,1034.88
745,2013-01-15,1034.64
746,2013-01-16,1034.69
747,2013-01-17,1034.61
748,2013-01-18,1034.71
749,2013-01-19,1034.9
750,2013-01-20,1035.14
751,2013-01-21,1034.99
752,2013-01-22,1035.25
753,2013-01-23,1035.09
754,2013-01-24,1035.19
755,2013-01-25,1035.83
756,2013-01-26,1035.33
757,2013-01-27,1034.81
758,2013-01-28,1036.4
759,2013-01-29,1035.82
760,2013-01-30,1036.26
761,2013-01-31,1035.82
762,2013-02-01,1035.82
763,2013-02-02,1035.51
764,2013-02-03,1035.0
765,2013-02-04,1035.01
766,2013-02-05,1034.46
767,2013-02-06,1034.82
768,2013-02-07,1034.63
769,2013-02-08,1034.9
770,2013-02-09,1034.89
771,2013-02-10,1034.98
772,2013-02-11,1035.13
773,2013-02-12,1035.12
774,2013-02-13,1035.77
775,2013-02-14,1035.0
776,2013-02-15,1035.05
777,2013-02-16,1035.03
778,2013-02-17,1034.94
779,2013-02-18,1035.01
780,2013-02-19,1034.94
781,2013-02-20,1034.54
782,2013-02-21,1034.67
783,2013-02-22,1035.01
784,2013-02-23,1034.83
785,2013-02-24,1034.83
786,2013-02-25,1034.67
787,2013-02-26,1035.04
788,2013-02-27,1035.09
789,2013-02-28,1037.2
790,2013-03-01,1036.83
791,2013-03-02,1036.18
792,2013-03-03,1035.91
793,2013-03-04,1035.26
794,2013-03-05,1035.0
795,2013-03-06,1034.86
796,2013-03-07,1034.81
797,2013-03-08,1035.14
798,2013-03-09,1034.96
799,2013-03-10,1034.95
800,2013-03-11,1035.15
801,2013-03-12,1034.95
802,2013-03-13,1035.36
803,2013-03-14,1035.15
804,2013-03-15,1035.46
805,2013-03-16,1035.52
806,2013-03-17,1035.37
807,2013-03-18,1035.21
808,2013-03-19,1034.93
809,2013-03-20,1034.95
810,2013-03-21,1035.19
811,2013-03-22,1035.21
812,2013-03-23,1034.76
813,2013-03-24,1034.87
814,2013-03-25,1035.44
815,2013-03-26,1035.2
816,2013-03-27,1034.79
817,2013-03-28,1035.22
818,2013-03-29,1035.04
819,2013-03-30,1034.97
820,2013-03-31,1035.14
821,2013-04-01,1035.53
822,2013-04-02,1034.82
823,2013-04-03,1034.96
824,2013-04-04,1035.19
825,2013-04-05,1035.32
826,2013-04-06,1035.24
827,2013-04-07,1037.51
828,2013-04-08,1035.82
829,2013-04-09,1035.73
830,2013-04-10,1035.77
831,2013-04-11,1035.48
832,2013-04-12,1035.05
833,2013-04-13,1034.97
834,2013-04-14,1035.2
835,2013-04-15,1034.85
836,2013-04-16,1035.11
837,2013-04-17,1035.22
838,2013-04-18,1035.18
839,2013-04-19,1037.44
840,2013-04-20,1036.5
841,2013-04-21,1035.63
842,2013-04-22,1035.44
843,2013-04-23,1035.11
844,2013-04-24,1035.03
845,2013-04-25,1034.98
846,2013-04-26,1034.83
847,2013-04-27,1034.9
848,2013-04-28,1034.98
849,2013-04-29,1035.78
850,2013-04-30,1035.02
851,2013-05-01,1035.6
