,datetime,HILLS_CREEK_LAKE_NEAR_OAKRIDGE__OR.tsv
858,2015-12-07,1453.94
859,2015-12-08,1456.24
860,2015-12-09,1458.92
861,2015-12-10,1462.01
862,2015-12-11,1461.49
863,2015-12-12,1460.93
864,2015-12-13,1463.12
865,2015-12-14,1461.74
866,2015-12-15,1459.38
867,2015-12-16,1456.59
868,2015-12-17,1458.7
869,2015-12-18,1464.17
870,2015-12-19,1464.71
871,2015-12-20,1463.52
872,2015-12-21,1463.63
873,2015-12-22,1464.03
874,2015-12-23,1463.01
875,2015-12-24,1460.99
876,2015-12-25,1458.38
877,2015-12-26,1455.45
878,2015-12-27,1452.62
879,2015-12-28,1450.88
880,2015-12-29,1450.58
881,2015-12-30,1450.63
882,2015-12-31,1450.84
883,2016-01-01,1451.09
884,2016-01-02,1451.24
885,2016-01-03,1451.35
886,2016-01-04,1451.43
887,2016-01-05,1451.57
888,2016-01-06,1451.71
889,2016-01-07,1451.79
890,2016-01-08,1451.81
891,2016-01-09,1451.83
892,2016-01-10,1451.86
893,2016-01-11,1451.86
894,2016-01-12,1452.28
895,2016-01-13,1453.51
896,2016-01-14,1453.52
897,2016-01-15,1453.1
898,2016-01-16,1454.3
899,2016-01-17,1457.45
900,2016-01-18,1460.84
901,2016-01-19,1463.12
902,2016-01-20,1464.52
903,2016-01-21,1463.62
904,2016-01-22,1462.74
905,2016-01-23,1461.94
906,2016-01-24,1460.69
907,2016-01-25,1458.85
908,2016-01-26,1456.59
909,2016-01-27,1454.31
910,2016-01-28,1453.59
911,2016-01-29,1454.8
912,2016-01-30,1455.44
913,2016-01-31,1455.71
914,2016-02-01,1456.28
915,2016-02-02,1456.94
916,2016-02-03,1457.29
917,2016-02-04,1458.3
918,2016-02-05,1459.49
919,2016-02-06,1460.63
920,2016-02-07,1461.84
921,2016-02-08,1463.25
922,2016-02-09,1464.97
923,2016-02-10,1466.74
924,2016-02-11,1468.44
925,2016-02-12,1470.22
926,2016-02-13,1472.04
