,datetime,EL_CAPITAN_RES_NR_LAKESIDE_CA.tsv
926,2015-07-16,33950.0
927,2015-07-17,33950.0
928,2015-07-18,33950.0
929,2015-07-19,33970.0
930,2015-07-20,33960.0
931,2015-07-21,33950.0
932,2015-07-22,33940.0
933,2015-07-23,33930.0
934,2015-07-24,33920.0
935,2015-07-25,33900.0
936,2015-07-26,33870.0
937,2015-07-27,33860.0
938,2015-07-28,33840.0
939,2015-07-29,33830.0
940,2015-07-30,33810.0
941,2015-07-31,33800.0
942,2015-08-01,33780.0
943,2015-08-02,33780.0
944,2015-08-03,33760.0
945,2015-08-04,33750.0
946,2015-08-05,33730.0
947,2015-08-06,33700.0
948,2015-08-07,33690.0
949,2015-08-08,33670.0
950,2015-08-09,33650.0
951,2015-08-10,33640.0
952,2015-08-11,33620.0
953,2015-08-12,33600.0
954,2015-08-13,33590.0
955,2015-08-14,33570.0
956,2015-08-15,33560.0
957,2015-08-16,33530.0
958,2015-08-17,33520.0
959,2015-08-18,33500.0
960,2015-08-19,33480.0
961,2015-08-20,33460.0
962,2015-08-21,33450.0
963,2015-08-22,33420.0
964,2015-08-23,33410.0
965,2015-08-24,33400.0
966,2015-08-25,33390.0
967,2015-08-26,33380.0
968,2015-08-27,33360.0
969,2015-08-28,33340.0
970,2015-08-29,33330.0
971,2015-08-30,33300.0
972,2015-08-31,33290.0
973,2015-09-01,33280.0
974,2015-09-02,33260.0
975,2015-09-03,33240.0
976,2015-09-04,33230.0
977,2015-09-05,33200.0
978,2015-09-06,33190.0
979,2015-09-07,33180.0
980,2015-09-08,33180.0
981,2015-09-09,33170.0
982,2015-09-10,33180.0
983,2015-09-11,33160.0
