,datetime,LAKE_HAVASU_NEAR_PARKER_DAM__AZ-CA.tsv
748,2015-01-19,552547.08
749,2015-01-20,548646.87
750,2015-01-21,546346.74
751,2015-01-22,548646.87
752,2015-01-23,554147.17
753,2015-01-24,559247.44
754,2015-01-25,562247.6
755,2015-01-26,566447.82
756,2015-01-27,570548.04
757,2015-01-28,577048.38
758,2015-01-29,585748.84
759,2015-01-30,589349.03
760,2015-01-31,586648.89
761,2015-02-01,586548.88
762,2015-02-02,585348.82
763,2015-02-03,582348.66
764,2015-02-04,576848.37
765,2015-02-05,577348.4
766,2015-02-06,577248.39
767,2015-02-07,575648.31
768,2015-02-08,575848.32
769,2015-02-09,574348.24
770,2015-02-10,572248.13
771,2015-02-11,570348.03
772,2015-02-12,566247.81
773,2015-02-13,559247.44
774,2015-02-14,555147.22
775,2015-02-15,554347.18
776,2015-02-16,552547.08
777,2015-02-17,548846.88
778,2015-02-18,544746.65
779,2015-02-19,544746.65
780,2015-02-20,547946.83
781,2015-02-21,551047.0
782,2015-02-22,552347.07
783,2015-02-23,552647.09
784,2015-02-24,553647.14
785,2015-02-25,557047.32
786,2015-02-26,560947.53
787,2015-02-27,565847.79
788,2015-02-28,569948.01
789,2015-03-01,579248.5
790,2015-03-02,587648.94
791,2015-03-03,597849.46
792,2015-03-04,603449.74
793,2015-03-05,609050.02
794,2015-03-06,604049.77
795,2015-03-07,595849.36
796,2015-03-08,591149.12
797,2015-03-09,590949.11
798,2015-03-10,586648.89
799,2015-03-11,579048.49
800,2015-03-12,571648.1
801,2015-03-13,565247.76
802,2015-03-14,565647.78
803,2015-03-15,570948.06
804,2015-03-16,573348.19
805,2015-03-17,577248.39
806,2015-03-18,581148.6
807,2015-03-19,588949.01
808,2015-03-20,592749.2
809,2015-03-21,592349.18
810,2015-03-22,588448.98
811,2015-03-23,582848.69
812,2015-03-24,575148.28
813,2015-03-25,570948.06
814,2015-03-26,575248.29
815,2015-03-27,576248.34
816,2015-03-28,578948.48
817,2015-03-29,577948.43
818,2015-03-30,578948.48
819,2015-03-31,579248.5
820,2015-04-01,575448.3
821,2015-04-02,579248.5
822,2015-04-03,577748.42
823,2015-04-04,578948.48
824,2015-04-05,575248.29
825,2015-04-06,574148.23
826,2015-04-07,572648.15
827,2015-04-08,567547.88
828,2015-04-09,564347.71
829,2015-04-10,567747.89
830,2015-04-11,571648.1
831,2015-04-12,575148.28
832,2015-04-13,575448.3
833,2015-04-14,583848.74
834,2015-04-15,582748.68
835,2015-04-16,589749.05
836,2015-04-17,589349.03
837,2015-04-18,585948.85
838,2015-04-19,583648.73
839,2015-04-20,580648.57
840,2015-04-21,573948.22
841,2015-04-22,570148.02
842,2015-04-23,574948.27
843,2015-04-24,572248.13
844,2015-04-25,571648.1
845,2015-04-26,575148.28
846,2015-04-27,575148.28
847,2015-04-28,574348.24
848,2015-04-29,578748.47
849,2015-04-30,583448.72
850,2015-05-01,586148.86
851,2015-05-02,584948.8
852,2015-05-03,584448.77
853,2015-05-04,584948.8
854,2015-05-05,593149.22
855,2015-05-06,593949.26
856,2015-05-07,597049.42
857,2015-05-08,600849.61
858,2015-05-09,601449.64
859,2015-05-10,600449.59
860,2015-05-11,602849.71
861,2015-05-12,605049.82
862,2015-05-13,606249.88
863,2015-05-14,607049.92
864,2015-05-15,608650.0
865,2015-05-16,611450.14
866,2015-05-17,609450.04
867,2015-05-18,611650.15
868,2015-05-19,606849.91
869,2015-05-20,603249.73
870,2015-05-21,606649.9
871,2015-05-22,606049.87
872,2015-05-23,610050.07
873,2015-05-24,608650.0
874,2015-05-25,605649.85
875,2015-05-26,600249.58
876,2015-05-27,596049.37
877,2015-05-28,597449.44
878,2015-05-29,594449.29
879,2015-05-30,592949.21
880,2015-05-31,591349.13
881,2015-06-01,592949.21
882,2015-06-02,592949.12
883,2015-06-03,589349.03
884,2015-06-04,597249.43
885,2015-06-05,597249.43
886,2015-06-06,595849.36
887,2015-06-07,594649.3
888,2015-06-08,592549.19
889,2015-06-09,591349.13
890,2015-06-10,591149.12
891,2015-06-11,596449.39
892,2015-06-12,596449.39
893,2015-06-13,600049.57
894,2015-06-14,600249.58
895,2015-06-15,604049.77
896,2015-06-16,604449.79
897,2015-06-17,598249.48
898,2015-06-18,599049.52
899,2015-06-19,601249.63
900,2015-06-20,599249.53
901,2015-06-21,600449.59
902,2015-06-22,600449.59
903,2015-06-23,598649.5
904,2015-06-24,594449.29
905,2015-06-25,601449.64
906,2015-06-26,601649.65
907,2015-06-27,603049.72
908,2015-06-28,603249.73
909,2015-06-29,600449.59
910,2015-06-30,596449.39
911,2015-07-01,594849.31
912,2015-07-02,601249.63
913,2015-07-03,600449.59
914,2015-07-04,604249.78
915,2015-07-05,608850.01
916,2015-07-06,609250.03
917,2015-07-07,600049.57
918,2015-07-08,589349.03
919,2015-07-09,589949.06
920,2015-07-10,581948.64
921,2015-07-11,579648.52
922,2015-07-12,576648.36
923,2015-07-13,574748.26
924,2015-07-14,576248.34
925,2015-07-15,576448.35
926,2015-07-16,587448.93
927,2015-07-17,586148.86
928,2015-07-18,590749.1
929,2015-07-19,593549.24
930,2015-07-20,596249.38
931,2015-07-21,598649.5
932,2015-07-22,599449.54
933,2015-07-23,604049.77
934,2015-07-24,600449.59
935,2015-07-25,596849.41
936,2015-07-26,593349.23
937,2015-07-27,590349.08
938,2015-07-28,588448.98
939,2015-07-29,585948.85
940,2015-07-30,580848.58
941,2015-07-31,581048.59
942,2015-08-01,584448.77
943,2015-08-02,585348.82
944,2015-08-03,584948.8
945,2015-08-04,583648.73
946,2015-08-05,581348.61
947,2015-08-06,579448.51
948,2015-08-07,580048.54
949,2015-08-08,581748.63
950,2015-08-09,583248.71
951,2015-08-10,577948.43
952,2015-08-11,577048.38
953,2015-08-12,576248.34
954,2015-08-13,580848.58
955,2015-08-14,580048.54
956,2015-08-15,581348.61
957,2015-08-16,581148.6
958,2015-08-17,573748.21
959,2015-08-18,570948.06
960,2015-08-19,570548.04
961,2015-08-20,569948.01
962,2015-08-21,569948.01
963,2015-08-22,573248.18
964,2015-08-23,575448.3
965,2015-08-24,576648.36
966,2015-08-25,575448.3
967,2015-08-26,577048.38
968,2015-08-27,582748.68
969,2015-08-28,585948.85
970,2015-08-29,589149.02
971,2015-08-30,589349.03
972,2015-08-31,588248.97
973,2015-09-01,584848.79
974,2015-09-02,583048.7
975,2015-09-03,587448.93
976,2015-09-04,587448.93
977,2015-09-05,588248.97
978,2015-09-06,586548.88
979,2015-09-07,585548.83
