,datetime,MOSES_LAKE_AT_MOSES_LAKE__WA.
1929,2016-04-13,1046.76
1930,2016-04-14,1046.77
1931,2016-04-15,1046.76
1932,2016-04-16,1046.77
1933,2016-04-17,1046.77
1934,2016-04-18,1046.73
1935,2016-04-19,1046.74
1936,2016-04-20,1046.72
1937,2016-04-21,1046.72
1938,2016-04-22,1046.74
1939,2016-04-23,1046.8
1940,2016-04-24,1046.82
1941,2016-04-25,1046.75
1942,2016-04-26,1046.72
1943,2016-04-27,1046.75
1944,2016-04-28,1046.76
1945,2016-04-29,1046.76
1946,2016-04-30,1046.75
1947,2016-05-01,1046.72
1948,2016-05-02,1046.74
1949,2016-05-03,1046.71
1950,2016-05-04,1046.78
1951,2016-05-05,1046.8
1952,2016-05-06,1046.66
1953,2016-05-07,1046.71
1954,2016-05-08,1046.75
1955,2016-05-09,1046.73
1956,2016-05-10,1046.76
1957,2016-05-11,1046.76
1958,2016-05-12,1046.76
1959,2016-05-13,1046.69
1960,2016-05-14,1046.69
1961,2016-05-15,1046.72
1962,2016-05-16,1046.73
1963,2016-05-17,1046.73
1964,2016-05-18,1046.75
1965,2016-05-19,1046.74
1966,2016-05-20,1046.74
1967,2016-05-21,1046.75
1968,2016-05-22,1046.74
1969,2016-05-23,1046.72
1970,2016-05-24,1046.72
1971,2016-05-25,1046.74
1972,2016-05-26,1046.78
1973,2016-05-27,1046.77
1974,2016-05-28,1046.77
1975,2016-05-29,1046.78
1976,2016-05-30,1046.76
1977,2016-05-31,1046.71
1978,2016-06-01,1046.65
1979,2016-06-02,1046.71
1980,2016-06-03,1046.81
1981,2016-06-04,1046.83
1982,2016-06-05,1046.82
1983,2016-06-06,1046.8
1984,2016-06-07,1046.76
1985,2016-06-08,1046.72
1986,2016-06-09,1046.71
1987,2016-06-10,1046.71
1988,2016-06-11,1046.7
1989,2016-06-12,1046.7
1990,2016-06-13,1046.71
1991,2016-06-14,1046.69
1992,2016-06-15,1046.7
1993,2016-06-16,1046.7
1994,2016-06-17,1046.71
1995,2016-06-18,1046.73
1996,2016-06-19,1046.75
1997,2016-06-20,1046.77
1998,2016-06-21,1046.78
1999,2016-06-22,1046.79
2000,2016-06-23,1046.79
2001,2016-06-24,1046.79
2002,2016-06-25,1046.79
2003,2016-06-26,1046.8
2004,2016-06-27,1046.81
2005,2016-06-28,1046.82
2006,2016-06-29,1046.83
2007,2016-06-30,1046.83
2008,2016-07-01,1046.82
2009,2016-07-02,1046.82
2010,2016-07-03,1046.82
2011,2016-07-04,1046.8
2012,2016-07-05,1046.78
2013,2016-07-06,1046.76
2014,2016-07-07,1046.76
2015,2016-07-08,1046.76
2016,2016-07-09,1046.77
2017,2016-07-10,1046.78
2018,2016-07-11,1046.78
2019,2016-07-12,1046.78
2020,2016-07-13,1046.78
2021,2016-07-14,1046.78
2022,2016-07-15,1046.78
2023,2016-07-16,1046.77
2024,2016-07-17,1046.78
2025,2016-07-18,1046.78
2026,2016-07-19,1046.78
2027,2016-07-20,1046.79
2028,2016-07-21,1046.8
2029,2016-07-22,1046.8
2030,2016-07-23,1046.8
2031,2016-07-24,1046.81
2032,2016-07-25,1046.8
2033,2016-07-26,1046.8
2034,2016-07-27,1046.78
2035,2016-07-28,1046.76
2036,2016-07-29,1046.74
2037,2016-07-30,1046.72
2038,2016-07-31,1046.7
2039,2016-08-01,1046.69
2040,2016-08-02,1046.67
2041,2016-08-03,1046.66
2042,2016-08-04,1046.68
2043,2016-08-05,1046.69
2044,2016-08-06,1046.7
2045,2016-08-07,1046.7
2046,2016-08-08,1046.7
2047,2016-08-09,1046.7
