,datetime,N_BATTLE_C_RES_NR_MANZANITA_LAKE_CA.tsv
783,2015-02-23,726.0
784,2015-02-24,725.0
785,2015-02-25,726.0
786,2015-02-26,727.0
787,2015-02-27,733.0
788,2015-02-28,735.0
789,2015-03-01,736.0
790,2015-03-02,737.0
791,2015-03-03,737.0
792,2015-03-04,737.0
793,2015-03-05,738.0
794,2015-03-06,738.0
795,2015-03-07,739.0
796,2015-03-08,740.0
797,2015-03-09,740.0
798,2015-03-10,740.0
799,2015-03-11,748.0
800,2015-03-12,750.0
801,2015-03-13,750.0
802,2015-03-14,750.0
803,2015-03-15,750.0
804,2015-03-16,752.0
805,2015-03-17,751.0
806,2015-03-18,750.0
807,2015-03-19,750.0
808,2015-03-20,749.0
809,2015-03-21,749.0
810,2015-03-22,752.0
811,2015-03-23,760.0
812,2015-03-24,768.0
813,2015-03-25,770.0
814,2015-03-26,772.0
815,2015-03-27,772.0
816,2015-03-28,772.0
817,2015-03-29,771.0
818,2015-03-30,771.0
819,2015-03-31,770.0
820,2015-04-01,768.0
821,2015-04-02,765.0
822,2015-04-03,763.0
823,2015-04-04,762.0
824,2015-04-05,767.0
825,2015-04-06,766.0
826,2015-04-07,767.0
827,2015-04-08,766.0
828,2015-04-09,766.0
829,2015-04-10,765.0
830,2015-04-11,764.0
831,2015-04-12,763.0
832,2015-04-13,761.0
833,2015-04-14,761.0
834,2015-04-15,758.0
835,2015-04-16,755.0
836,2015-04-17,753.0
837,2015-04-18,752.0
838,2015-04-19,749.0
839,2015-04-20,746.0
840,2015-04-21,745.0
841,2015-04-22,743.0
842,2015-04-23,741.0
843,2015-04-24,741.0
844,2015-04-25,743.0
845,2015-04-26,742.0
846,2015-04-27,739.0
847,2015-04-28,735.0
848,2015-04-29,733.0
849,2015-04-30,729.0
850,2015-05-01,726.0
851,2015-05-02,722.0
852,2015-05-03,719.0
853,2015-05-04,716.0
854,2015-05-05,712.0
855,2015-05-06,709.0
856,2015-05-07,704.0
857,2015-05-08,701.0
858,2015-05-09,697.0
859,2015-05-10,695.0
860,2015-05-11,693.0
861,2015-05-12,695.0
862,2015-05-13,695.0
863,2015-05-14,693.0
864,2015-05-15,691.0
865,2015-05-16,689.0
866,2015-05-17,687.0
867,2015-05-18,685.0
868,2015-05-19,683.0
869,2015-05-20,685.0
870,2015-05-21,686.0
871,2015-05-22,685.0
872,2015-05-23,685.0
873,2015-05-24,683.0
874,2015-05-25,680.0
875,2015-05-26,678.0
876,2015-05-27,674.0
877,2015-05-28,671.0
878,2015-05-29,668.0
879,2015-05-30,665.0
880,2015-05-31,662.0
881,2015-06-01,659.0
882,2015-06-02,656.0
883,2015-06-03,656.0
884,2015-06-04,654.0
885,2015-06-05,651.0
886,2015-06-06,647.0
887,2015-06-07,644.0
888,2015-06-08,643.0
889,2015-06-09,644.0
890,2015-06-10,641.0
891,2015-06-11,638.0
892,2015-06-12,634.0
893,2015-06-13,630.0
894,2015-06-14,624.0
895,2015-06-15,621.0
896,2015-06-16,617.0
897,2015-06-17,613.0
898,2015-06-18,609.0
899,2015-06-19,606.0
900,2015-06-20,601.0
901,2015-06-21,598.0
902,2015-06-22,594.0
903,2015-06-23,590.0
904,2015-06-24,586.0
905,2015-06-25,582.0
906,2015-06-26,579.0
907,2015-06-27,575.0
908,2015-06-28,572.0
909,2015-06-29,568.0
910,2015-06-30,564.0
911,2015-07-01,561.0
912,2015-07-02,557.0
913,2015-07-03,554.0
914,2015-07-04,551.0
915,2015-07-05,547.0
916,2015-07-06,543.0
917,2015-07-07,543.0
918,2015-07-08,543.0
919,2015-07-09,543.0
920,2015-07-10,540.0
921,2015-07-11,537.0
922,2015-07-12,535.0
923,2015-07-13,532.0
924,2015-07-14,528.0
925,2015-07-15,524.0
926,2015-07-16,521.0
927,2015-07-17,517.0
