,datetime,LAKE_MERWIN_AT_ARIEL__WA.tsv
842,2015-04-23,391335.52
843,2015-04-24,391435.54
844,2015-04-25,392535.82
845,2015-04-26,388234.72
846,2015-04-27,390535.31
847,2015-04-28,391435.56
848,2015-04-29,390235.25
849,2015-04-30,388834.87
850,2015-05-01,389034.94
851,2015-05-02,388534.81
852,2015-05-03,387434.51
853,2015-05-04,386234.21
854,2015-05-05,384233.7
855,2015-05-06,382933.36
856,2015-05-07,381332.95
857,2015-05-08,381032.86
858,2015-05-09,382233.17
859,2015-05-10,380832.82
860,2015-05-11,379032.35
861,2015-05-12,377832.05
862,2015-05-13,376431.66
863,2015-05-14,375431.42
864,2015-05-15,376531.7
865,2015-05-16,374731.23
866,2015-05-17,375431.4
867,2015-05-18,373330.87
868,2015-05-19,371830.48
869,2015-05-20,373030.78
870,2015-05-21,374231.09
871,2015-05-22,374931.29
872,2015-05-23,373730.97
873,2015-05-24,373530.91
874,2015-05-25,372530.65
875,2015-05-26,369229.8
876,2015-05-27,368729.65
877,2015-05-28,369729.92
878,2015-05-29,369229.79
879,2015-05-30,369829.94
880,2015-05-31,370130.04
881,2015-06-01,366629.12
882,2015-06-02,366228.99
883,2015-06-03,365528.83
884,2015-06-04,366329.03
885,2015-06-05,366529.09
886,2015-06-06,367429.32
887,2015-06-07,369229.8
888,2015-06-08,367129.25
889,2015-06-09,368429.59
890,2015-06-10,366228.99
891,2015-06-11,365728.86
892,2015-06-12,363528.28
893,2015-06-13,360427.47
894,2015-06-14,365128.72
895,2015-06-15,365628.84
896,2015-06-16,366529.07
897,2015-06-17,366729.13
898,2015-06-18,366929.2
899,2015-06-19,367729.41
900,2015-06-20,367929.45
901,2015-06-21,367929.46
902,2015-06-22,367729.4
903,2015-06-23,367029.22
904,2015-06-24,369229.79
905,2015-06-25,370029.99
906,2015-06-26,370630.15
907,2015-06-27,371130.3
908,2015-06-28,371830.46
909,2015-06-29,367629.37
910,2015-06-30,366729.13
911,2015-07-01,367029.22
912,2015-07-02,366028.95
913,2015-07-03,367529.35
914,2015-07-04,368829.69
915,2015-07-05,370330.07
916,2015-07-06,371930.5
917,2015-07-07,372530.66
918,2015-07-08,374031.05
919,2015-07-09,375231.35
920,2015-07-10,375431.41
921,2015-07-11,376331.64
922,2015-07-12,377231.88
923,2015-07-13,378132.11
924,2015-07-14,379082.2
925,2015-07-15,380032.6
926,2015-07-16,381032.87
927,2015-07-17,383533.51
928,2015-07-18,385934.14
929,2015-07-19,387234.46
930,2015-07-20,387934.65
931,2015-07-21,387634.57
932,2015-07-22,387734.61
933,2015-07-23,387534.54
934,2015-07-24,387734.59
935,2015-07-25,388434.77
936,2015-07-26,388834.87
937,2015-07-27,387134.44
938,2015-07-28,385734.08
939,2015-07-29,384333.72
940,2015-07-30,382633.29
941,2015-07-31,382433.24
942,2015-08-01,383733.56
943,2015-08-02,384233.69
944,2015-08-03,383933.61
945,2015-08-04,384333.73
946,2015-08-05,385033.9
947,2015-08-06,386334.23
948,2015-08-07,388034.67
949,2015-08-08,386634.32
950,2015-08-09,385233.96
951,2015-08-10,386434.27
952,2015-08-11,387734.61
953,2015-08-12,388434.77
954,2015-08-13,387334.49
955,2015-08-14,386034.16
956,2015-08-15,384633.79
957,2015-08-16,383233.44
958,2015-08-17,383933.61
959,2015-08-18,383633.54
960,2015-08-19,384933.88
961,2015-08-20,383633.53
962,2015-08-21,382133.16
963,2015-08-22,380932.83
964,2015-08-23,379432.45
965,2015-08-24,377932.07
966,2015-08-25,378032.08
967,2015-08-26,379032.34
968,2015-08-27,378832.3
969,2015-08-28,380232.67
970,2015-08-29,379032.34
971,2015-08-30,379932.59
972,2015-08-31,378632.24
973,2015-09-01,377631.98
974,2015-09-02,376531.69
975,2015-09-03,375431.42
976,2015-09-04,375931.53
977,2015-09-05,375231.37
978,2015-09-06,374131.06
979,2015-09-07,374731.24
980,2015-09-08,373830.99
981,2015-09-09,373530.91
982,2015-09-10,374531.18
983,2015-09-11,376531.7
984,2015-09-12,377631.98
985,2015-09-13,379932.58
