,datetime,BLUE_RIVER_LAKE_NEAR_BLUE_RIVER__OR.tsv
690,2015-08-21,1259.27
691,2015-08-22,1258.36
692,2015-08-23,1257.47
693,2015-08-24,1256.57
694,2015-08-25,1255.65
695,2015-08-26,1254.81
696,2015-08-27,1254.18
697,2015-08-28,1253.59
698,2015-08-29,1253.06
699,2015-08-30,1252.55
700,2015-08-31,1252.05
701,2015-09-01,1251.49
702,2015-09-02,1250.96
703,2015-09-03,1250.46
704,2015-09-04,1249.92
705,2015-09-05,1249.42
706,2015-09-06,1248.88
707,2015-09-07,1248.31
708,2015-09-08,1247.74
709,2015-09-09,1247.18
710,2015-09-10,1246.59
711,2015-09-11,1246.0
712,2015-09-12,1245.41
713,2015-09-13,1244.81
714,2015-09-14,1244.2
715,2015-09-15,1243.6
716,2015-09-16,1242.99
717,2015-09-17,1242.89
718,2015-09-18,1242.6
719,2015-09-19,1242.07
720,2015-09-20,1241.49
721,2015-09-21,1240.89
722,2015-09-22,1240.27
723,2015-09-23,1239.63
724,2015-09-24,1238.99
725,2015-09-25,1238.34
726,2015-09-26,1237.68
727,2015-09-27,1237.01
728,2015-09-28,1236.33
729,2015-09-29,1235.63
730,2015-09-30,1234.91
731,2015-10-01,1234.19
732,2015-10-02,1233.45
733,2015-10-03,1232.7
734,2015-10-04,1231.93
735,2015-10-05,1231.16
736,2015-10-06,1230.39
737,2015-10-07,1229.6
738,2015-10-08,1228.8
739,2015-10-09,1228.01
740,2015-10-10,1227.24
741,2015-10-11,1226.51
742,2015-10-12,1225.73
743,2015-10-13,1224.91
744,2015-10-14,1224.09
745,2015-10-15,1223.25
746,2015-10-16,1222.4
747,2015-10-17,1221.57
748,2015-10-18,1220.74
749,2015-10-19,1219.85
750,2015-10-20,1218.95
751,2015-10-21,1218.04
752,2015-10-22,1217.1
753,2015-10-23,1216.13
754,2015-10-24,1215.17
755,2015-10-25,1214.32
756,2015-10-26,1213.74
757,2015-10-27,1212.9
758,2015-10-28,1212.15
759,2015-10-29,1211.66
