,datetime,FRANKLIN_ROOSEVELT_LAKE_AT_GRAND_COULEE_DAM__WA.tsv
924,2015-07-14,1289.34
925,2015-07-15,1289.11
926,2015-07-16,1288.92
927,2015-07-17,1288.63
928,2015-07-18,1288.4
929,2015-07-19,1288.46
930,2015-07-20,1288.46
931,2015-07-21,1288.94
932,2015-07-22,1289.25
933,2015-07-23,1289.16
934,2015-07-24,1288.89
935,2015-07-25,1288.98
936,2015-07-26,1289.1
937,2015-07-27,1288.89
938,2015-07-28,1288.32
939,2015-07-29,1287.75
940,2015-07-30,1287.39
941,2015-07-31,1287.08
942,2015-08-01,1286.92
943,2015-08-02,1286.85
944,2015-08-03,1286.59
945,2015-08-04,1285.77
946,2015-08-05,1285.58
947,2015-08-06,1285.28
948,2015-08-07,1284.97
949,2015-08-08,1284.91
950,2015-08-09,1284.63
951,2015-08-10,1284.47
952,2015-08-11,1284.28
953,2015-08-12,1283.86
954,2015-08-13,1283.2
955,2015-08-14,1282.63
956,2015-08-15,1282.32
957,2015-08-16,1281.77
958,2015-08-17,1281.17
959,2015-08-18,1280.6
960,2015-08-19,1280.04
961,2015-08-20,1279.55
962,2015-08-21,1279.11
963,2015-08-22,1278.88
964,2015-08-23,1278.85
965,2015-08-24,1278.43
966,2015-08-25,1277.79
967,2015-08-26,1277.78
968,2015-08-27,1277.5
969,2015-08-28,1277.29
970,2015-08-29,1277.4
971,2015-08-30,1277.71
972,2015-08-31,1277.49
973,2015-09-01,1277.73
974,2015-09-02,1278.27
975,2015-09-03,1279.06
976,2015-09-04,1279.6
977,2015-09-05,1279.93
