,datetime,LAKE_SABRINA_NR_BISHOP_CA.
938,2013-07-27,763.0
939,2013-07-28,783.0
940,2013-07-29,790.0
941,2013-07-30,788.0
942,2013-07-31,782.0
943,2013-08-01,763.0
944,2013-08-02,739.0
945,2013-08-03,713.0
946,2013-08-04,684.0
947,2013-08-05,654.0
948,2013-08-06,624.0
949,2013-08-07,594.0
950,2013-08-08,565.0
951,2013-08-09,531.0
952,2013-08-10,496.0
953,2013-08-11,463.0
954,2013-08-12,434.0
955,2013-08-13,406.0
956,2013-08-14,378.0
957,2013-08-15,336.0
958,2013-08-16,284.0
959,2013-08-17,239.0
960,2013-08-18,202.0
961,2013-08-19,177.0
962,2013-08-20,159.0
963,2013-08-21,143.0
964,2013-08-22,127.0
965,2013-08-23,108.0
966,2013-08-24,81.0
967,2013-08-25,27.0
968,2013-08-26,0.0
969,2013-08-27,0.0
970,2013-08-28,0.0
971,2013-08-29,0.0
972,2013-08-30,0.0
973,2013-08-31,0.0
974,2013-09-01,0.0
975,2013-09-02,0.0
976,2013-09-03,0.0
977,2013-09-04,0.0
978,2013-09-05,0.0
979,2013-09-06,0.0
980,2013-09-07,0.0
981,2013-09-08,0.0
982,2013-09-09,0.0
983,2013-09-10,0.0
984,2013-09-11,0.0
985,2013-09-12,0.0
986,2013-09-13,0.0
987,2013-09-14,0.0
988,2013-09-15,0.0
989,2013-09-16,0.0
990,2013-09-17,0.0
991,2013-09-18,0.0
992,2013-09-19,0.0
993,2013-09-20,0.0
994,2013-09-21,0.0
995,2013-09-22,0.0
996,2013-09-23,0.0
997,2013-09-24,0.0
998,2013-09-25,0.0
999,2013-09-26,0.0
1000,2013-09-27,0.0
1001,2013-09-28,0.0
1002,2013-09-29,0.0
1003,2013-09-30,0.0
1004,2013-10-01,0.0
1005,2013-10-02,0.0
1006,2013-10-03,0.0
1007,2013-10-04,0.0
1008,2013-10-05,0.0
1009,2013-10-06,0.0
1010,2013-10-07,0.0
1011,2013-10-08,0.0
1012,2013-10-09,0.0
1013,2013-10-10,0.0
