,datetime,SAMMAMISH_LAKE_NEAR_REDMOND__WA.
1029,2013-10-26,26.42
1030,2013-10-27,26.41
1031,2013-10-28,26.4
1032,2013-10-29,26.38
1033,2013-10-30,26.37
1034,2013-10-31,26.35
1035,2013-11-01,26.34
1036,2013-11-02,26.34
1037,2013-11-03,26.36
1038,2013-11-04,26.35
1039,2013-11-05,26.35
1040,2013-11-06,26.35
1041,2013-11-07,26.43
1042,2013-11-08,26.58
1043,2013-11-09,26.62
1044,2013-11-10,26.63
1045,2013-11-11,26.62
1046,2013-11-12,26.62
1047,2013-11-13,26.6
1048,2013-11-14,26.59
1049,2013-11-15,26.58
1050,2013-11-16,26.65
1051,2013-11-17,26.66
1052,2013-11-18,26.7
1053,2013-11-19,26.88
1054,2013-11-20,26.97
1055,2013-11-21,26.98
