,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.
975,2013-09-02,47790
976,2013-09-03,47640
977,2013-09-04,47080
978,2013-09-05,46450
979,2013-09-06,45850
980,2013-09-07,45220
981,2013-09-08,44580
982,2013-09-09,44000
983,2013-09-10,43360
984,2013-09-11,42700
985,2013-09-12,42030
986,2013-09-13,41370
987,2013-09-14,40730
988,2013-09-15,40130
989,2013-09-16,39530
990,2013-09-17,39180
991,2013-09-18,39090
992,2013-09-19,39040
993,2013-09-20,38440
994,2013-09-21,38380
995,2013-09-22,37920
996,2013-09-23,37380
997,2013-09-24,36960
998,2013-09-25,36680
999,2013-09-26,36390
1000,2013-09-27,35760
1001,2013-09-28,35130
1002,2013-09-29,34510
1003,2013-09-30,33860
1004,2013-10-01,33280
1005,2013-10-02,32900
1006,2013-10-03,32540
1007,2013-10-04,32270
1008,2013-10-05,32040
1009,2013-10-06,31800
1010,2013-10-07,31900
1011,2013-10-08,32170
1012,2013-10-09,32460
1013,2013-10-10,32770
1014,2013-10-11,33020
1015,2013-10-12,33240
1016,2013-10-13,33500
1017,2013-10-14,33800
1018,2013-10-15,34110
1019,2013-10-16,34340
1020,2013-10-17,34600
1021,2013-10-18,34850
1022,2013-10-19,35090
1023,2013-10-20,35390
1024,2013-10-21,35690
1025,2013-10-22,35760
1026,2013-10-23,36030
1027,2013-10-24,36320
1028,2013-10-25,36630
1029,2013-10-26,37060
1030,2013-10-27,37310
1031,2013-10-28,37650
1032,2013-10-29,37920
1033,2013-10-30,38180
1034,2013-10-31,38340
1035,2013-11-01,38590
1036,2013-11-02,38830
1037,2013-11-03,39030
1038,2013-11-04,39160
1039,2013-11-05,38940
1040,2013-11-06,38650
1041,2013-11-07,38350
1042,2013-11-08,38060
1043,2013-11-09,37790
1044,2013-11-10,37510
1045,2013-11-11,37240
1046,2013-11-12,36500
1047,2013-11-13,35770
1048,2013-11-14,35040
1049,2013-11-15,34420
1050,2013-11-16,33680
1051,2013-11-17,32960
1052,2013-11-18,32210
1053,2013-11-19,31480
1054,2013-11-20,30800
1055,2013-11-21,30060
1056,2013-11-22,29240
1057,2013-11-23,28490
1058,2013-11-24,27740
1059,2013-11-25,27270
1060,2013-11-26,27200
1061,2013-11-27,27140
1062,2013-11-28,27100
1063,2013-11-29,27070
1064,2013-11-30,27090
1065,2013-12-01,27030
1066,2013-12-02,26990
1067,2013-12-03,26930
1068,2013-12-04,26900
1069,2013-12-05,26960
1070,2013-12-06,26970
1071,2013-12-07,27040
1072,2013-12-08,27400
1073,2013-12-09,27560
1074,2013-12-10,27930
1075,2013-12-11,27830
1076,2013-12-12,27720
1077,2013-12-13,27550
1078,2013-12-14,27360
1079,2013-12-15,26860
1080,2013-12-16,26680
1081,2013-12-17,26500
1082,2013-12-18,26200
1083,2013-12-19,25990
1084,2013-12-20,25840
1085,2013-12-21,25600
1086,2013-12-22,25440
1087,2013-12-23,25230
1088,2013-12-24,25080
1089,2013-12-25,24920
1090,2013-12-26,24770
1091,2013-12-27,24590
1092,2013-12-28,24360
1093,2013-12-29,24170
1094,2013-12-30,23950
1095,2013-12-31,23780
1096,2014-01-01,23480
1097,2014-01-02,23300
1098,2014-01-03,23140
1099,2014-01-04,22950
1100,2014-01-05,22800
1101,2014-01-06,22640
1102,2014-01-07,22540
1103,2014-01-08,22430
1104,2014-01-09,22300
1105,2014-01-10,22090
1106,2014-01-11,21920
1107,2014-01-12,21780
1108,2014-01-13,21640
1109,2014-01-14,21500
1110,2014-01-15,21370
1111,2014-01-16,21240
1112,2014-01-17,21160
1113,2014-01-18,21060
1114,2014-01-19,20960
1115,2014-01-20,20890
1116,2014-01-21,20840
1117,2014-01-22,20780
1118,2014-01-23,20760
1119,2014-01-24,20770
1120,2014-01-25,20690
1121,2014-01-26,20620
1122,2014-01-27,20610
1123,2014-01-28,20580
1124,2014-01-29,20580
1125,2014-01-30,20710
1126,2014-01-31,20770
1127,2014-02-01,20800
1128,2014-02-02,20710
1129,2014-02-03,20730
1130,2014-02-04,20710
1131,2014-02-05,20780
1132,2014-02-06,20910
1133,2014-02-07,20950
1134,2014-02-08,21050
1135,2014-02-09,21560
