,datetime,DIABLO_RESERVOIR_NEAR_NEWHALEM__WA.
612,2012-09-04,1202.33
613,2012-09-05,1201.84
614,2012-09-06,1200.76
615,2012-09-07,1201.07
616,2012-09-08,1201.49
617,2012-09-09,1202.07
618,2012-09-10,1201.73
619,2012-09-11,1201.38
620,2012-09-12,1201.3
621,2012-09-13,1200.87
622,2012-09-14,1201.11
623,2012-09-15,1201.52
624,2012-09-16,1203.59
625,2012-09-17,1202.45
626,2012-09-18,1202.11
627,2012-09-19,1200.96
628,2012-09-20,1200.99
629,2012-09-21,1201.2
630,2012-09-22,1202.23
631,2012-09-23,1201.92
632,2012-09-24,1202.35
633,2012-09-25,1202.21
634,2012-09-26,1202.32
635,2012-09-27,1201.49
636,2012-09-28,1201.55
637,2012-09-29,1200.63
638,2012-09-30,1200.9
639,2012-10-01,1201.41
640,2012-10-02,1201.37
641,2012-10-03,1201.27
642,2012-10-04,1201.27
643,2012-10-05,1200.9
644,2012-10-06,1200.92
645,2012-10-07,1200.99
646,2012-10-08,1200.86
647,2012-10-09,1201.86
648,2012-10-10,1201.56
649,2012-10-11,1201.38
650,2012-10-12,1200.99
651,2012-10-13,1200.23
652,2012-10-14,1202.37
653,2012-10-15,1201.5
654,2012-10-16,1202.54
655,2012-10-17,1200.49
656,2012-10-18,1200.92
657,2012-10-19,1204.77
658,2012-10-20,1202.45
659,2012-10-21,1200.05
660,2012-10-22,1200.02
661,2012-10-23,1200.27
662,2012-10-24,1200.34
663,2012-10-25,1200.73
664,2012-10-26,1200.34
665,2012-10-27,1201.23
666,2012-10-28,1201.56
667,2012-10-29,1201.15
668,2012-10-30,1200.55
669,2012-10-31,1201.13
670,2012-11-01,1200.12
671,2012-11-02,1201.52
672,2012-11-03,1201.26
673,2012-11-04,1200.47
674,2012-11-05,1202.19
675,2012-11-06,1200.82
676,2012-11-07,1200.07
677,2012-11-08,1200.56
678,2012-11-09,1200.85
679,2012-11-10,1201.49
680,2012-11-11,1201.2
681,2012-11-12,1200.94
682,2012-11-13,1200.2
683,2012-11-14,1201.74
684,2012-11-15,1200.66
685,2012-11-16,1201.69
686,2012-11-17,1201.0
687,2012-11-18,1200.58
688,2012-11-19,1200.91
689,2012-11-20,1202.24
690,2012-11-21,1201.07
691,2012-11-22,1200.7
692,2012-11-23,1201.08
693,2012-11-24,1200.73
694,2012-11-25,1201.0
695,2012-11-26,1201.55
696,2012-11-27,1200.83
697,2012-11-28,1201.66
698,2012-11-29,1200.31
699,2012-11-30,1200.13
700,2012-12-01,1200.52
