,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.
767,2013-02-06,870.73
768,2013-02-07,870.95
769,2013-02-08,871.72
770,2013-02-09,872.2
771,2013-02-10,872.31
772,2013-02-11,871.6
773,2013-02-12,872.25
774,2013-02-13,871.23
775,2013-02-14,871.44
776,2013-02-15,871.35
777,2013-02-16,871.41
778,2013-02-17,871.05
779,2013-02-18,871.13
780,2013-02-19,872.03
781,2013-02-20,873.08
782,2013-02-21,872.53
783,2013-02-22,872.87
784,2013-02-23,872.39
785,2013-02-24,871.65
786,2013-02-25,871.35
787,2013-02-26,871.23
788,2013-02-27,871.55
789,2013-02-28,871.47
790,2013-03-01,873.78
791,2013-03-02,871.89
792,2013-03-03,870.77
793,2013-03-04,871.85
794,2013-03-05,871.52
795,2013-03-06,872.38
796,2013-03-07,871.54
797,2013-03-08,870.95
798,2013-03-09,870.94
799,2013-03-10,871.48
800,2013-03-11,872.85
801,2013-03-12,871.4
802,2013-03-13,871.3
803,2013-03-14,871.02
804,2013-03-15,871.92
805,2013-03-16,871.63
806,2013-03-17,870.63
807,2013-03-18,871.16
808,2013-03-19,870.95
809,2013-03-20,871.34
810,2013-03-21,871.13
811,2013-03-22,870.46
812,2013-03-23,870.41
813,2013-03-24,870.47
814,2013-03-25,868.69
815,2013-03-26,871.01
816,2013-03-27,871.06
817,2013-03-28,870.59
818,2013-03-29,871.5
819,2013-03-30,871.58
820,2013-03-31,871.46
821,2013-04-01,870.9
822,2013-04-02,871.59
823,2013-04-03,870.93
824,2013-04-04,871.28
825,2013-04-05,872.63
826,2013-04-06,871.23
827,2013-04-07,871.38
828,2013-04-08,871.09
829,2013-04-09,870.55
830,2013-04-10,872.03
831,2013-04-11,871.05
832,2013-04-12,871.54
833,2013-04-13,871.02
834,2013-04-14,871.1
835,2013-04-15,871.27
836,2013-04-16,869.66
837,2013-04-17,872.26
838,2013-04-18,872.0
839,2013-04-19,871.13
840,2013-04-20,871.91
841,2013-04-21,871.6
842,2013-04-22,871.44
843,2013-04-23,872.15
844,2013-04-24,871.62
845,2013-04-25,870.25
846,2013-04-26,873.1
847,2013-04-27,871.65
848,2013-04-28,872.09
849,2013-04-29,872.08
850,2013-04-30,870.63
851,2013-05-01,870.26
852,2013-05-02,870.65
853,2013-05-03,870.67
854,2013-05-04,871.71
855,2013-05-05,872.28
856,2013-05-06,870.12
857,2013-05-07,871.57
858,2013-05-08,871.8
859,2013-05-09,871.49
860,2013-05-10,872.37
861,2013-05-11,872.99
862,2013-05-12,871.43
863,2013-05-13,872.67
864,2013-05-14,869.91
865,2013-05-15,870.46
866,2013-05-16,871.59
867,2013-05-17,871.71
868,2013-05-18,872.49
869,2013-05-19,872.53
870,2013-05-20,872.09
871,2013-05-21,871.66
872,2013-05-22,871.92
873,2013-05-23,871.63
874,2013-05-24,871.89
875,2013-05-25,871.99
876,2013-05-26,872.49
877,2013-05-27,871.88
878,2013-05-28,872.2
879,2013-05-29,871.01
880,2013-05-30,871.59
881,2013-05-31,870.64
882,2013-06-01,872.28
883,2013-06-02,871.9
884,2013-06-03,872.34
885,2013-06-04,872.64
886,2013-06-05,870.57
887,2013-06-06,871.64
888,2013-06-07,871.17
889,2013-06-08,871.58
890,2013-06-09,871.91
891,2013-06-10,870.95
892,2013-06-11,870.59
893,2013-06-12,870.66
894,2013-06-13,870.68
895,2013-06-14,871.62
896,2013-06-15,871.22
897,2013-06-16,872.2
898,2013-06-17,872.33
899,2013-06-18,872.05
900,2013-06-19,871.59
901,2013-06-20,871.99
902,2013-06-21,870.92
903,2013-06-22,871.01
904,2013-06-23,872.78
905,2013-06-24,872.84
906,2013-06-25,870.59
907,2013-06-26,872.18
908,2013-06-27,872.15
909,2013-06-28,870.77
910,2013-06-29,870.78
911,2013-06-30,872.96
912,2013-07-01,871.97
913,2013-07-02,870.57
914,2013-07-03,871.07
915,2013-07-04,870.83
916,2013-07-05,871.5
917,2013-07-06,871.93
918,2013-07-07,872.04
919,2013-07-08,870.97
920,2013-07-09,870.83
921,2013-07-10,872.43
922,2013-07-11,872.09
923,2013-07-12,870.77
924,2013-07-13,871.56
925,2013-07-14,869.61
926,2013-07-15,857.39
927,2013-07-16,836.75
928,2013-07-17,818.52
929,2013-07-18,818.8
930,2013-07-19,819.18
931,2013-07-20,818.08
932,2013-07-21,818.32
933,2013-07-22,818.58
934,2013-07-23,818.02
935,2013-07-24,818.02
936,2013-07-25,818.21
937,2013-07-26,819.59
938,2013-07-27,820.12
939,2013-07-28,820.25
940,2013-07-29,820.29
941,2013-07-30,820.71
942,2013-07-31,819.56
943,2013-08-01,820.9
944,2013-08-02,819.53
945,2013-08-03,819.99
946,2013-08-04,820.06
947,2013-08-05,820.05
948,2013-08-06,820.18
949,2013-08-07,820.21
950,2013-08-08,820.27
951,2013-08-09,819.7
952,2013-08-10,820.99
953,2013-08-11,819.74
954,2013-08-12,819.04
955,2013-08-13,819.82
956,2013-08-14,819.87
957,2013-08-15,820.04
958,2013-08-16,819.97
959,2013-08-17,819.89
960,2013-08-18,819.76
961,2013-08-19,820.28
962,2013-08-20,820.09
963,2013-08-21,820.31
964,2013-08-22,820.15
965,2013-08-23,819.3
966,2013-08-24,820.2
967,2013-08-25,820.12
968,2013-08-26,820.32
969,2013-08-27,820.0
970,2013-08-28,819.8
971,2013-08-29,819.09
972,2013-08-30,819.81
973,2013-08-31,820.07
974,2013-09-01,820.27
975,2013-09-02,819.37
976,2013-09-03,819.31
977,2013-09-04,819.44
978,2013-09-05,819.58
979,2013-09-06,820.12
980,2013-09-07,819.81
981,2013-09-08,820.14
982,2013-09-09,819.58
983,2013-09-10,819.69
984,2013-09-11,819.58
985,2013-09-12,819.58
986,2013-09-13,819.45
987,2013-09-14,819.53
988,2013-09-15,819.51
989,2013-09-16,819.39
990,2013-09-17,820.1
991,2013-09-18,820.08
992,2013-09-19,819.25
993,2013-09-20,820.37
994,2013-09-21,820.03
995,2013-09-22,819.99
996,2013-09-23,819.93
997,2013-09-24,819.25
998,2013-09-25,819.79
999,2013-09-26,820.01
1000,2013-09-27,819.69
1001,2013-09-28,820.66
1002,2013-09-29,821.95
1003,2013-09-30,820.63
1004,2013-10-01,820.98
1005,2013-10-02,820.47
1006,2013-10-03,821.08
1007,2013-10-04,820.81
1008,2013-10-05,820.96
1009,2013-10-06,820.54
1010,2013-10-07,820.15
1011,2013-10-08,820.28
1012,2013-10-09,821.63
1013,2013-10-10,820.63
1014,2013-10-11,821.68
1015,2013-10-12,821.15
1016,2013-10-13,820.65
1017,2013-10-14,820.83
1018,2013-10-15,820.62
1019,2013-10-16,821.11
1020,2013-10-17,821.52
1021,2013-10-18,820.79
1022,2013-10-19,820.7
1023,2013-10-20,821.26
1024,2013-10-21,820.42
1025,2013-10-22,820.12
1026,2013-10-23,820.24
1027,2013-10-24,820.88
1028,2013-10-25,820.91
1029,2013-10-26,820.51
1030,2013-10-27,820.89
1031,2013-10-28,820.87
