,datetime,INDIAN_VALLEY_RES_A_CLEARLAKE_OAKS_CA.
948,2013-08-06,35559.53
949,2013-08-07,35039.05
950,2013-08-08,34488.53
951,2013-08-09,33847.92
952,2013-08-10,33267.35
953,2013-08-11,32836.93
954,2013-08-12,32416.51
955,2013-08-13,32026.11
956,2013-08-14,31525.6
957,2013-08-15,30944.99
958,2013-08-16,30404.41
959,2013-08-17,29843.8
960,2013-08-18,29343.25
961,2013-08-19,28812.65
962,2013-08-20,28392.17
963,2013-08-21,27911.62
964,2013-08-22,27491.12
965,2013-08-23,27050.59
966,2013-08-24,26690.15
967,2013-08-25,26379.76
968,2013-08-26,26089.4
969,2013-08-27,25809.04
970,2013-08-28,25568.74
971,2013-08-29,25298.38
972,2013-08-30,24957.94
973,2013-08-31,24617.48
974,2013-09-01,24277.03
975,2013-09-02,23996.64
976,2013-09-03,23666.18
977,2013-09-04,23255.61
978,2013-09-05,22774.91
979,2013-09-06,22264.17
980,2013-09-07,21753.4
